38712|27592||1106|50|34946
38712|66534||16972|25|34946
38712|27358||6374|8|34946
38712|9533||3797|56|34946
38712|27406||16104|28|34946
38712|59813||4685|32|34946
38712|43219||16921|6|34946
38712|8554||4677|37|34946
38712|78829||8237|47|34946
38712|74898||6421|3|34946
38712|24291||1044|22|34946
38712|73651||6562|18|34946
38712|51014||1026|32|34946
38712|42780||830|34|34946
38712|76250||16145|49|34946
38712|59296||16948|59|34946
38712|23708||2074|34|70361
38712|7442||6547|12|70361
38712|47949||12276|5|70361
38712|74064||11081|36|70361
38712|76549||9599|32|70361
38712|68931||9326|58|70361
38712|42953||7481|4|70361
38712|20375||4779|2|70361
38712|34810||3358|35|70361
38712|77406||3835|52|70361
38712|39471||7759|26|70361
38712|50568||8325|3|70361
38712|2231||1073|39|
38712|54481||13009|29|
38712|57925||1742|19|
38712|9228||14885|0|
38712|16829||4665|34|
38712|63802||5221|49|
38712|25893||3038|31|
38712|31122||16513|18|
38712|44393||12742|53|
38712|67030||239|25|
38712|69414||8081|21|
38712|44356||13594|14|
38712|74624||334|6|
38712|56317||12625|58|
38712|80867||17325|31|
38712|22255||10645|56|
38712|62912||16381|9|
38712|9388||6054|26|
38712|1830||15932|50|
38712|5948||1166|35|
38712|37218||10532|11|
38712|2125||12807|39|
38712|30556||7299|8|
38712|14390||2653|50|
38712|20107||16522|43|
38712|25026||11700|49|
38712|78451||8372|50|
38712|2760||3662|30|
38712|13212||5531|33|
38712|43879||2008|36|
38712|12088||5360|14|
38712|55007||4425|17|
38712|30062||1684|30|
38712|73708||13481|50|
38712|28035||5848|15|
38712|19489||3163|4|19567
38712|6320||14439|7|19567
38712|81004||17403|23|19567
38712|57638||10037|0|19567
38712|20946||10059|19|19567
38712|16595||426|58|19567
38712|44289|89850|8910|56|19567
38712|44289|89850|11482|4|19567
38712|44289|89850|12831|51|19567
38712|44289|89850|7918|11|19567
38712|44289|89850|15465|25|19567
38712|44289|89850|10001|12|19567
38712|44289|89850|16271|38|19567
38712|44289|89850|17862|40|19567
38712|44289|89850|8657|6|19567
38712|44289|89850|14422|55|19567
38712|44289|89850|992|35|19567
38712|44289|89850|2759|18|19567
38712|44289|89850|4254|8|19567
38712|17375||7642|55|46818
38712|23560||6908|20|46818
38712|10251||13984|19|46818
38712|73502||1893|27|46818
38712|51817||3794|3|46818
38712|71474||7953|7|46818
