37798|46302|1388|49890|93139|580|24559|49890|93139|580|24559|1|1|29038|3|175.86|10.55|186.41|51.44|334.81|151.24|12.80|11.82|355.91
38109|26016|17620|49890|93139|580|24559|49890|93139|580|24559|51|2|29038|11|27.94|1.68|29.62|53.13|33.32|24.03|2.03|1.88|36.68
38158|18557|14216|49890|93139|580|24559|49890|93139|580|24559|25|11|29038|31|380.99|22.86|403.85|80.67|1300.95|327.65|27.74|25.60|1346.67
37731|959|14964|49890|93139|580|24559|49890|93139|580|24559|18|19|29038|61|2241.14|134.47|2375.61|39.06|3081.70|1927.38|163.16|150.60|3350.64
37575|26506|1798|49890|93139|580|24559|49890|93139|580|24559|38|12|29038|50|2123.00|127.38|2250.38|67.71|3284.32|1825.78|154.55|142.67|3539.08
37830|85196|10000|49890|93139|580|24559|49890|93139|580|24559|42|9|29038|1|84.77|5.09|89.86|44.71|279.73|72.90|6.17|5.70|289.91
37920|4141|9761|49890|93139|580|24559|49890|93139|580|24559|32|20|29038|33|427.35|25.64|452.99|87.90|542.32|367.52|31.11|28.72|593.60
38120|67260|10003|49890|93139|580|24559|49890|93139|580|24559|40|24|29038|40|4318.00|259.08|4577.08|85.21|5551.92|3713.48|314.35|290.17|6070.08
37828|62887|1588|49890|93139|580|24559|49890|93139|580|24559|36|16|29038|55|2016.85|121.01|2137.86|67.55|6655.42|1734.49|146.83|135.53|6897.44
38547|44432|6391|41885|898033|4609|1613|41885|898033|4609|1613|50|1|75807|67|3067.93|214.76|3282.69|14.79|2191.23|2883.85|123.33|60.75|2620.75
38856|51854|5640|41885|898033|4609|1613|41885|898033|4609|1613|4|15|75807|80|665.60|46.59|712.19|91.68|4159.60|625.66|26.76|13.18|4252.78
38594|70032|7338|41885|898033|4609|1613|41885|898033|4609|1613|44|2|75807|23|3582.25|250.76|3833.01|73.27|2453.64|3367.31|144.01|70.93|2955.16
38788|63983|12457|41885|898033|4609|1613|41885|898033|4609|1613|17|10|75807|64|8676.48|607.35|9283.83|56.41|6474.88|8155.89|348.80|171.79|7689.58
39147|15779|15417|41885|898033|4609|1613|41885|898033|4609|1613|35|24|75807|4|79.16|5.54|84.70|98.76|94.22|74.41|3.18|1.57|105.30
38784|62380|6722|41885|898033|4609|1613|41885|898033|4609|1613|11|14|75807|4|6.72|0.47|7.19|81.31|112.04|6.32|0.27|0.13|112.98
38562|77756|1657|41885|898033|4609|1613|41885|898033|4609|1613|51|1|75807|14|1251.32|87.59|1338.91|6.15|1955.24|1176.24|50.30|24.78|2130.42
38725|17177|17324|41885|898033|4609|1613|41885|898033|4609|1613|31|13|75807|5|43.15|3.02|46.17|80.71|102.70|40.56|1.74|0.85|108.74
38515|12870|17884|41885|898033|4609|1613|41885|898033|4609|1613|42|32|75807|91|471.38|33.00|504.38|78.12|981.89|443.10|18.95|9.33|1047.89
39116|7693|15294|41885|898033|4609|1613|41885|898033|4609|1613|11|9|75807|17|194.82|13.64|208.46|6.48|165.07|183.13|7.83|3.86|192.35
38690|27929|15770|41885|898033|4609|1613|41885|898033|4609|1613|3|29|75807|19|81.70|5.72|87.42|42.81|49.78|76.80|3.28|1.62|61.22
38695|77821|4460|41885|898033|4609|1613|41885|898033|4609|1613|37|10|75807|69|5543.46|388.04|5931.50|67.04|2917.66|5210.85|222.85|109.76|3693.74
38910|32398|1754|41885|898033|4609|1613|41885|898033|4609|1613|42|15|75807|28|5800.76|406.05|6206.81|64.09|3537.10|5452.71|233.19|114.86|4349.20
38249|59808|10002|72927|1023148|4416|28575|72927|1023148|4416|28575|7|26|32578|65|3946.15|315.69|4261.84|43.56|2186.89|3748.84|76.95|120.36|2818.27
38090|75071|16144|72927|1023148|4416|28575|72927|1023148|4416|28575|38|29|32578|24|208.08|16.65|224.73|87.77|329.88|197.68|4.06|6.34|363.18
38126|40495|17629|72927|1023148|4416|28575|72927|1023148|4416|28575|54|22|32578|14|3192.98|255.44|3448.42|79.50|1707.89|3033.33|62.26|97.39|2218.77
38079|26915|10003|72927|1023148|4416|28575|72927|1023148|4416|28575|9|31|32578|2|25.58|2.05|27.63|84.73|40.57|24.30|0.50|0.78|44.67
37853|61033|15131|72927|1023148|4416|28575|72927|1023148|4416|28575|36|7|32578|96|2862.72|229.02|3091.74|73.33|3062.94|2719.58|55.82|87.32|3520.98
37668|37198|14895|72927|1023148|4416|28575|72927|1023148|4416|28575|34|26|32578|23|2517.58|201.41|2718.99|82.15|1867.90|2391.70|49.09|76.79|2270.72
37605|64154|5473|72927|1023148|4416|28575|72927|1023148|4416|28575|46|18|32578|17|1763.92|141.11|1905.03|24.31|1502.61|1675.72|34.40|53.80|1784.83
37626|26411|15367|72927|1023148|4416|28575|72927|1023148|4416|28575|38|7|32578|28|32.48|2.60|35.08|7.35|1490.99|30.86|0.63|0.99|1496.19
38604|54030|13980|1543|677050|947|14623|1543|677050|947|14623|57|21|79347|15|627.00|50.16|677.16|14.55|972.94|514.14|91.42|21.44|1073.26
38620|6346|16547|1543|677050|947|14623|1543|677050|947|14623|15|17|79347|2|57.14|4.57|61.71|70.39|88.67|46.85|8.33|1.96|97.81
38943|79898|5389|1543|677050|947|14623|1543|677050|947|14623|56|31|79347|32|1015.68|81.25|1096.93|59.95|993.60|832.86|148.08|34.74|1156.10
38082|65378|14235|89468|1862572|2436|20480|89468|1862572|2436|20480|36|33|36118|4|228.52|9.14|237.66|27.99|200.98|153.11|46.75|28.66|219.26
38796|19021|14590|85561|940546|4429|17036|85561|940546|4429|17036|39|23|82887|51|24.99|0.75|25.74|16.89|190.39|2.50|14.39|8.10|191.89
38913|45312|16685|85561|940546|4429|17036|85561|940546|4429|17036|44|28|82887|6|372.90|11.19|384.09|53.43|242.00|37.29|214.79|120.82|264.38
38694|34007|17900|85561|940546|4429|17036|85561|940546|4429|17036|12|19|82887|12|755.28|22.66|777.94|11.33|1123.77|75.53|435.04|244.71|1169.09
38802|79131|949|85561|940546|4429|17036|85561|940546|4429|17036|32|30|82887|81|102.06|3.06|105.12|35.00|6245.92|10.21|58.78|33.07|6252.04
39170|2153|16492|85561|940546|4429|17036|85561|940546|4429|17036|50|14|82887|9|5.13|0.15|5.28|52.26|155.81|0.51|2.96|1.66|156.11
38882|51250|15900|85561|940546|4429|17036|85561|940546|4429|17036|3|1|82887|12|540.12|16.20|556.32|53.70|417.09|54.01|311.11|175.00|449.49
39233|12792|15152|85561|940546|4429|17036|85561|940546|4429|17036|7|21|82887|6|270.06|8.10|278.16|73.11|191.56|27.01|155.55|87.50|207.76
38783|25536|16362|85561|940546|4429|17036|85561|940546|4429|17036|15|16|82887|8|452.40|13.57|465.97|72.46|484.14|45.24|260.58|146.58|511.28
39389|83340|15137|85561|940546|4429|17036|85561|940546|4429|17036|25|23|82887|45|2987.10|89.61|3076.71|31.99|2760.65|298.71|1720.57|967.82|2939.87
38947|649|9506|85561|940546|4429|17036|85561|940546|4429|17036|56|25|82887|15|733.20|22.00|755.20|26.21|520.09|73.32|422.32|237.56|564.09
38141|32940|1033|85095|840248|3616|43114|85095|840248|3616|43114|46|18|39658|41|1833.11|73.32|1906.43|88.77|403.28|1411.49|307.78|113.84|549.92
38021|18323|10054|85095|840248|3616|43114|85095|840248|3616|43114|51|11|39658|19|1395.36|55.81|1451.17|12.43|166.84|1074.43|234.28|86.65|278.46
38491|22058|13744|85095|840248|3616|43114|85095|840248|3616|43114|32|8|39658|16|87.04|3.48|90.52|19.93|68.38|67.02|14.61|5.41|75.34
38106|44818|10002|85095|840248|3616|43114|85095|840248|3616|43114|7|23|39658|15|1411.05|56.44|1467.49|67.09|246.38|1086.51|236.91|87.63|359.26
37844|37576|723|85095|840248|3616|43114|85095|840248|3616|43114|30|24|39658|20|275.00|11.00|286.00|5.53|33.24|211.75|46.17|17.08|55.24
38056|49963|11152|85095|840248|3616|43114|85095|840248|3616|43114|50|5|39658|2|95.16|3.81|98.97|32.65|36.10|73.27|15.98|5.91|43.72
