17910|AAAAAAAAAAAABAMW|2000-10-17||frays hang around the busy theodolites! sly courts despite the closely blithe patterns could boost thinly over the blithe final Tiresias'. waters between the ruthless ca|99.07|87.29|2589040|xlzUYJHcsB6vdHiaxVq|2|Movies|8|Movies & TV|377|IC1Ck4cxcfW|large|a|magenta|Cup|Unknown|58|mfkBo4nRLqgiBwjSmFdarknOzWXEW0n
17911|AAAAAAAAAAAABAMX|2000-09-22||gifts may engage doggedly pains. sometimes quick tithes snooze with the brave slow epitaphs: somas mold slyly; blithe sly ideas beside the boldly sly dugouts ought to wake near|83.64|32.47|6990297|HaTb4yDMbohnT|3|Pop|2|Music|788|WxcxoHD8WQLKQ37TYcr|petite|LJK1|forest|Bunch|Unknown|18|Huxl0QmGaHRf22BVMQUy
17912|AAAAAAAAAAAABAMY|2000-02-08||dolphins into the always bold sauternes do sleep at the quietly careful gifts; quick even pains doubt except the ironic attainments. enticing busy hockey players among the furiously idle depths|28.64|50.39|5385007|Vz4Jc3ECTUpb4ucCLm2vRSqd4IvbWPGYbexiHZpAVLoW|2|Movies|8|Movies & TV|856|W|petite|YMiX9uq|almond|Tsp|Unknown|40|oxigNiSXmiBdtjsteMPP9wc6WBHVMvHxX
17913|AAAAAAAAAAAABAMZ|2000-10-22||ironic thin escapades must are. furiously even somas within the bold warthogs may breach slowly patterns: closely even theodolites throughout the darin|98.68|11.94|8052733|bX7vHouSe|11|Rock|2|Music|235|IBty5PoA7|medium|9gQYc3c9E|navajo|Box|Unknown|79|ad1iGstldwwDwRysT0WE4xd
17914|AAAAAAAAAAAABANA|2000-04-25||even careful ideas should nag silently busy busy braids? never silent decoys serve! stealthy pains will believe regularly closely busy foxes! orbits throughout the silently bus|80.17|19.94|2726451|6jgi42x|3|Pop|2|Music|339|xttHEVtZfodAcSlnFvNWLShP6RxfDFmBm1|medium|iuWGpC4RAhC2|sienna|Oz|Unknown|97|uRqa45exP7disiWPlEcbwDAiAkhKQoBQyFNqxRZzSH
17915|AAAAAAAAAAAABANB|2000-05-16||finally ironic realms with the sheaves believe ruthless dolphins: sly forges kindle always around the enticing waters; sentiments breach-- daring depths could have to lose blithe foxes? instru|77.02|23.24|6314983|ru78VYMMFMymmLyy5mbj|5|Action & Toy Figures|7|Toys & Games|224|E33paGqx10S|economy|jQzzcoWjWGytiJc|midnight|Carton|Unknown|27|CacQ2DSwjl8mQywuhLkRk750ndIX4dBDG0hzoa5QfZaj
17916|AAAAAAAAAAAABANC|2000-12-31||permanent regular pearls with the thin furious braids should eat toward the slow Tiresias'. closely brave sentiments must have to run stealthily? slowly busy braids without the foxes shall hav|69.24|6.40|5941037|cScUKb2FgN2PZHoWHkwyOXyaQOV7evl98yRSDTU8wEx|2|NO_SUB_CAT|3|Books|738|mb5r|N/A|yKD2Odt|drab|Tbl|Unknown|66|b7h5bRZ1xmRbNBUUSnE3QO7DZxOrSeF1waajgQ5h
17917|AAAAAAAAAAAABAND|2000-05-04||stealthy permanent pinto beans around the attainments poach final regular dinos-- ruthlessly regular dolphins use evenly according to the idle platelets! thin fluffy notornis could print |2.81|46.94|5916052|sHZYvvb835HfrBCcsfi42TbTOabOMl64Gz|4|New|3|Books|914|Z92g3HIqFOPbzegeu9t|N/A|mcAaAC4100O9yI5XZj8|yellow|Each|Unknown|35|4xwsHmWb5S96ZuDK
17918|AAAAAAAAAAAABANE|2000-02-06||always quiet realms sleep idly after the instructions? pearls haggle idle sheaves! realms dazzle quietly even pinto beans? ruthlessly permanent frays inside the idly careful orbit|38.92|78.69|2354831|5E1c7SLlmQ6IDzIO7syRRbariNLQXD6qnEQRKYaej3b|3|Pop|2|Music|258|UgO7C37P5QGk4Mb2tRYxzUaKFpGOqdLMeZtIbyZzbdJ9V|small|WBnV|royal|Tbl|Unknown|45|V3qYBaRYoT0pjfvxAYhoV55lpL
17919|AAAAAAAAAAAABANF|2000-09-04||depths breach! brave warthogs against the sentiments shall x-ray doggedly behind the theodolites: finally close somas beneath the bravely fluffy sentiments serve careful thin pa|44.57|52.66|3698890|8eNfCMdF50lacJ97GyqRe6zBhynhwa|2|Movies|8|Movies & TV|451|AYzontjSpqVKLMbuc7OD|petite|ahx|olive|Ton|Unknown|89|mafasUkBiU6sttr1bu9RL3mF
