38709|8292|17629|13919|74979|5007|47767|10|46|89700|51|27.35|40.20|33.77|327.93|1722.27|1394.85|2050.20|86.11|0.00|1722.27|1808.38|327.42
38709|8292|16665|13919|74979|5007|47767|10|217|89700|64|59.90|86.26|28.47|3698.56|1822.08|3833.60|5520.64|9.84|838.16|983.92|993.76|-2849.68
38709|8292|17727|13919|74979|5007|47767|10|90|89700|7|49.24|86.66|36.40|351.82|254.80|344.68|606.62|7.64|0.00|254.80|262.44|-89.88
38709|8292|17324|13919|74979|5007|47767|10|26|89700|66|31.62|59.13|43.76|1014.42|2888.16|2086.92|3902.58|115.53|0.00|2888.16|3003.69|801.24
38709|8292|5826|13919|74979|5007|47767|10|75|89700|10|52.51|95.57|26.76|688.10|267.60|525.10|955.70|21.41|0.00|267.60|289.01|-257.50
38709|8292|13744|13919|74979|5007|47767|10|219|89700|73|87.71|154.37|80.27|5409.30|5859.71|6402.83|11269.01|175.79|2343.88|3515.83|3691.62|-2887.00
38709|8292|5571|13919|74979|5007|47767|10|120|89700|55|92.07|92.99|45.57|2608.10|2506.35|5063.85|5114.45|75.19|0.00|2506.35|2581.54|-2557.50
38709|8292|7971|13919|74979|5007|47767|10|263|89700|68|80.16|141.88|56.75|5788.84|3859.00|5450.88|9647.84|77.18|0.00|3859.00|3936.18|-1591.88
38709|8292|10000|13919|74979|5007|47767|10|89|89700|87|44.28|67.75|35.91|2770.08|3124.17|3852.36|5894.25|218.69|0.00|3124.17|3342.86|-728.19
38709|8292|14354|13919|74979|5007|47767|10|282|89700|18|50.61|58.71|4.70|972.18|84.60|910.98|1056.78|3.38|0.00|84.60|87.98|-826.38
38709|8292|10002|13919|74979|5007|47767|10|89|89700|20|13.97|22.77|20.04|54.60|400.80|279.40|455.40|0.00|0.00|400.80|400.80|121.40
38709|8292|14216|13919|74979|5007|47767|10|113|89700|53|28.98|31.01|7.13|1265.64|377.89|1535.94|1643.53|15.12|0.00|377.89|393.01|-1158.05
38709|8292|4696|13919|74979|5007|47767|10|266|89700|52|15.79|30.63|11.03|1019.20|573.56|821.08|1592.76|11.47|0.00|573.56|585.03|-247.52
38709|35257|16354|99540|1854763|6151|43713|7|205|89701|41|21.25|26.35|5.80|842.55|237.80|871.25|1080.35|9.51|0.00|237.80|247.31|-633.45
