38709|35791|38786|11922|22899|193410|5191|39908|22899|193410|5191|39908|39|13|10|0|176|89700|76|64.35|77.22|20.08|4342.64|1526.08|4890.60|5868.72|30.52|0.00|176.06|1526.08|1556.60|1702.14|1732.66|-3364.52
38709|35791|38808|11246|22899|193410|5191|39908|22899|193410|5191|39908|9|17|9|1|212|89700|20|40.32|74.59|11.93|1253.20|238.60|806.40|1491.80|3.67|186.11|730.98|52.49|56.16|783.47|787.14|-753.91
38709|35791|38722|13833|22899|193410|5191|39908|22899|193410|5191|39908|51|29|14|3|22|89700|68|36.15|46.63|41.03|380.80|2790.04|2458.20|3170.84|251.10|0.00|1268.34|2790.04|3041.14|4058.38|4309.48|331.84
38709|35791|38761|10325|22899|193410|5191|39908|22899|193410|5191|39908|53|24|8|2|192|89700|29|25.38|31.98|29.10|83.52|843.90|736.02|927.42|33.76|0.00|287.50|843.90|877.66|1131.40|1165.16|107.88
38709|52237|38785|11445|73062|79092|6458|30357|73062|79092|6458|30357|4|18|12|2|286|89701|33|50.96|97.33|57.42|1317.03|1894.86|1681.68|3211.89|0.00|625.30|1059.92|1269.56|1269.56|2329.48|2329.48|-412.12
38709|52237|38752|6444|73062|79092|6458|30357|73062|79092|6458|30357|12|11|3|1|93|89701|21|6.03|10.97|0.77|214.20|16.17|126.63|230.37|0.81|0.00|48.38|16.17|16.98|64.55|65.36|-110.46
38709|52237|38785|9456|73062|79092|6458|30357|73062|79092|6458|30357|12|14|10|4|240|89701|41|1.96|5.51|2.04|142.27|83.64|80.36|225.91|7.53|0.00|88.10|83.64|91.17|171.74|179.27|3.28
38709|52237|38813|963|73062|79092|6458|30357|73062|79092|6458|30357|43|0|19|0|190|89701|5|30.98|63.51|38.11|127.00|190.55|154.90|317.55|11.43|0.00|146.07|190.55|201.98|336.62|348.05|35.65
38709|52237|38737|15299|73062|79092|6458|30357|73062|79092|6458|30357|13|14|11|2|229|89701|60|59.18|156.24|17.19|8343.00|1031.40|3550.80|9374.40|20.63|0.00|2999.81|1031.40|1052.03|4031.21|4051.84|-2519.40
38709|52237|38725|10002|73062|79092|6458|30357|73062|79092|6458|30357|47|12|2|3|230|89701|44|61.27|116.41|27.94|3892.68|1229.36|2695.88|5122.04|110.64|0.00|153.66|1229.36|1340.00|1383.02|1493.66|-1466.52
38709|52237|38785|14452|73062|79092|6458|30357|73062|79092|6458|30357|8|4|3|2|235|89701|51|12.09|35.06|6.66|1448.40|339.66|616.59|1788.06|20.38|0.00|429.13|339.66|360.04|768.79|789.17|-276.93
38709|52237|38812|7161|73062|79092|6458|30357|73062|79092|6458|30357|9|19|17|0|48|89701|83|60.30|96.48|54.03|3523.35|4484.49|5004.90|8007.84|44.84|0.00|2962.90|4484.49|4529.33|7447.39|7492.23|-520.41
38709|52237|38788|17934|73062|79092|6458|30357|73062|79092|6458|30357|41|12|10|4|244|89701|20|27.23|62.36|16.21|923.00|324.20|544.60|1247.20|0.00|207.49|74.83|116.71|116.71|191.54|191.54|-427.89
38709|82624|38759|3240|10675|1388261|2645|21742|83144|1292508|5660|24681|47|5|18|2|243|89702|69|8.26|14.70|7.06|527.16|487.14|569.94|1014.30|19.49|0.00|223.15|487.14|506.63|710.29|729.78|-82.80
38709|82624|38743|1677|10675|1388261|2645|21742|83144|1292508|5660|24681|36|2|16|4|175|89702|42|88.17|184.28|145.58|1625.40|6114.36|3703.14|7739.76|0.00|2445.74|1934.94|3668.62|3668.62|5603.56|5603.56|-34.52
38709|82624|38795|14590|10675|1388261|2645|21742|83144|1292508|5660|24681|42|8|17|1|22|89702|42|19.60|45.86|10.09|1502.34|423.78|823.20|1926.12|29.66|0.00|924.54|423.78|453.44|1348.32|1377.98|-399.42
38709|82624|38760|15271|10675|1388261|2645|21742|83144|1292508|5660|24681|16|19|16|0|104|89702|19|31.47|73.01|25.55|901.74|485.45|597.93|1387.19|43.69|0.00|610.36|485.45|529.14|1095.81|1139.50|-112.48
38709|5412|38770|3614|31977|206139|1067|32912|31977|206139|1067|32912|31|0|16|1|58|89703|68|84.76|143.24|68.76|5064.64|4675.68|5763.68|9740.32|46.76|0.00|389.61|4675.68|4722.44|5065.29|5112.05|-1088.00
38709|5412|38745|15062|31977|206139|1067|32912|31977|206139|1067|32912|44|21|9|1|173|89703|8|44.51|133.08|121.10|95.84|968.80|356.08|1064.64|53.48|77.50|223.57|891.30|944.78|1114.87|1168.35|535.22
38709|2081|38810|10774|90536|738426|3947|7659|68753|746617|5451|30499|8|2|18|4|72|89704|94|57.61|59.91|4.79|5181.28|450.26|5415.34|5631.54|9.01|0.00|1351.57|450.26|459.27|1801.83|1810.84|-4965.08
38709|2081|38785|17934|90536|738426|3947|7659|68753|746617|5451|30499|37|26|8|2|130|89704|48|18.70|26.55|9.03|840.96|433.44|897.60|1274.40|4.33|0.00|140.18|433.44|437.77|573.62|577.95|-464.16
38709|2081|38719|13341|90536|738426|3947|7659|68753|746617|5451|30499|9|1|19|4|38|89704|95|6.01|16.23|3.08|1249.25|292.60|570.95|1541.85|0.00|0.00|632.16|292.60|292.60|924.76|924.76|-278.35
38709|2081|38733|13508|90536|738426|3947|7659|68753|746617|5451|30499|27|1|18|3|153|89704|87|1.12|3.30|1.06|194.88|92.22|97.44|287.10|2.77|0.00|8.61|92.22|94.99|100.83|103.60|-5.22
38709|2081|38764|10947|90536|738426|3947|7659|68753|746617|5451|30499|59|1|12|4|17|89704|95|75.95|87.34|9.61|7384.35|912.95|7215.25|8297.30|36.52|0.00|2489.19|912.95|949.47|3402.14|3438.66|-6302.30
